frame,x,y,z,roll,pitch,yaw,tracking_state,n_keypoints,n_map_matches,is_keyframe
66,-0.120775,0.004115,0.348162,4.307,-18.996,-4.693,OK,1205,189,0
67,-0.122481,0.004673,0.354058,4.290,-18.952,-4.923,OK,1205,195,0
68,-0.124874,0.005499,0.360019,4.235,-18.866,-5.100,OK,1204,184,0
69,-0.126807,0.005096,0.364109,4.201,-18.871,-5.259,OK,1204,189,0
70,-0.128578,0.005308,0.369833,4.188,-18.834,-5.504,OK,1205,192,0
71,-0.130556,0.005740,0.376202,4.183,-18.784,-5.805,OK,1208,239,0
72,-0.132578,0.006410,0.383189,4.155,-18.711,-6.138,OK,1207,231,0
73,-0.136243,0.006364,0.388578,4.149,-18.679,-6.341,OK,1208,204,0
74,-0.139487,0.006664,0.395554,4.181,-18.631,-6.675,OK,1204,197,0
75,-0.142338,0.005761,0.401726,4.296,-18.691,-7.039,OK,1208,198,0
76,-0.143595,0.006773,0.409973,4.270,-18.609,-7.547,OK,1204,206,0
77,-0.144731,0.007549,0.416562,4.453,-18.552,-7.946,OK,1204,203,0
78,-0.148349,0.007557,0.423198,4.489,-18.536,-8.268,OK,1204,228,0
79,-0.151375,0.010158,0.431469,4.379,-18.338,-8.531,OK,1203,222,0
80,-0.154319,0.013562,0.442987,4.425,-18.100,-8.981,OK,1205,212,0
81,-0.158642,0.013107,0.450563,4.474,-18.113,-9.145,OK,1206,233,0
82,-0.162003,0.013790,0.458276,4.416,-18.031,-9.437,OK,1202,235,0
83,-0.166384,0.012543,0.463440,4.533,-18.087,-9.597,OK,1206,216,0
84,-0.168885,0.014924,0.474610,4.341,-17.898,-9.991,OK,1205,259,0
85,-0.173430,0.013203,0.476796,4.394,-17.982,-10.040,OK,1204,247,0
86,-0.178658,0.010529,0.482954,4.515,-18.147,-10.252,OK,1206,221,0
87,-0.183101,0.008673,0.489404,4.644,-18.269,-10.479,OK,1207,228,0
88,-0.186404,0.010143,0.498562,4.611,-18.139,-10.830,OK,1204,244,0
89,-0.190041,0.009464,0.498561,4.514,-18.154,-10.885,OK,1206,226,0
90,-0.191281,0.010021,0.509198,4.602,-18.106,-11.418,OK,1204,250,0
91,-0.195396,0.010153,0.515554,4.588,-18.064,-11.649,OK,1203,235,0
92,-0.199014,0.009839,0.523514,4.606,-18.066,-11.953,OK,1204,216,0
93,-0.201731,0.009953,0.527981,4.566,-18.018,-12.229,OK,1203,282,0
94,-0.206421,0.009438,0.533902,4.612,-18.049,-12.432,OK,1205,238,0
95,-0.209438,0.009851,0.542108,4.566,-17.963,-12.784,OK,1201,214,0
96,-0.213566,0.009482,0.548574,4.590,-17.977,-13.044,OK,1200,258,0
97,-0.217131,0.010442,0.556631,4.463,-17.853,-13.349,OK,1206,219,0
98,-0.221323,0.010283,0.563555,4.508,-17.861,-13.610,OK,1202,225,0
99,-0.225898,0.010957,0.569728,4.447,-17.753,-13.845,OK,1202,263,0
100,-0.227421,0.011657,0.580784,4.439,-17.677,-14.380,OK,1204,236,0
101,-0.231280,0.011261,0.589038,4.402,-17.667,-14.725,OK,1206,223,0
102,-0.235802,0.010664,0.597139,4.456,-17.682,-15.002,OK,1204,247,0
103,-0.237945,0.011450,0.605754,4.329,-17.579,-15.446,OK,1202,233,0
104,-0.243599,0.010430,0.612802,4.377,-17.626,-15.622,OK,1204,213,0
105,-0.248952,0.011741,0.618004,4.284,-17.498,-15.781,OK,1204,287,0
106,-0.253268,0.010964,0.624416,4.233,-17.497,-16.013,OK,1200,230,0
107,-0.257535,0.010682,0.632312,4.184,-17.499,-16.276,OK,1204,227,0
108,-0.260881,0.010359,0.640859,4.162,-17.487,-16.641,OK,1205,245,0
109,-0.265391,0.010247,0.646837,4.125,-17.448,-16.850,OK,1204,217,0
110,-0.270607,0.009485,0.651027,4.177,-17.492,-16.979,OK,1207,220,0
111,-0.275120,0.011175,0.656254,4.077,-17.320,-17.132,OK,1203,291,0
112,-0.279688,0.009297,0.664878,4.132,-17.449,-17.422,OK,1202,202,0
113,-0.282969,0.010308,0.670556,4.011,-17.326,-17.641,OK,1205,191,0
114,-0.287223,0.008348,0.679343,4.042,-17.449,-17.952,OK,1207,166,0
115,-0.292112,0.008984,0.682557,3.948,-17.372,-17.992,OK,1202,209,0
116,-0.297206,0.008498,0.688815,3.979,-17.384,-18.156,OK,1204,175,0
117,-0.301535,0.007555,0.696987,3.994,-17.436,-18.416,OK,1200,140,0
118,-0.305894,0.008040,0.702535,3.910,-17.355,-18.580,OK,1202,130,0
119,-0.309987,0.009087,0.707024,3.899,-17.256,-18.722,OK,1203,207,0
120,-0.315407,0.008195,0.711560,3.937,-17.308,-18.810,OK,1202,167,0
121,-0.319532,0.008337,0.716690,3.905,-17.257,-18.951,OK,1204,126,0
122,-0.324117,0.007421,0.725519,3.861,-17.303,-19.193,OK,1201,138,0
123,-0.328236,0.008508,0.728954,3.850,-17.189,-19.269,OK,1203,208,0
124,-0.332230,0.008360,0.734398,3.831,-17.169,-19.411,OK,1205,170,0
125,-0.335424,0.009097,0.732186,3.834,-17.089,-19.259,OK,1203,149,0
126,-0.338317,0.008799,0.734500,3.814,-17.079,-19.338,OK,1203,156,0
127,-0.342422,0.009384,0.741598,3.964,-17.030,-19.503,OK,1202,237,0
128,-0.345895,0.009925,0.743399,3.745,-16.930,-19.529,OK,1201,198,0
129,-0.350171,0.009461,0.749201,3.817,-16.954,-19.656,OK,1200,177,0
130,-0.354184,0.009593,0.755218,3.805,-16.916,-19.793,OK,1203,178,0
131,-0.358070,0.010475,0.754076,3.757,-16.818,-19.628,OK,1200,160,0
132,-0.360951,0.010832,0.757598,3.717,-16.741,-19.728,OK,1201,263,0
133,-0.364924,0.011141,0.762108,3.675,-16.699,-19.793,OK,1204,219,0
134,-0.368422,0.012077,0.766102,3.628,-16.579,-19.855,OK,1203,203,0
135,-0.372547,0.012553,0.771119,3.585,-16.520,-19.923,OK,1202,179,0
136,-0.376141,0.011963,0.776668,3.649,-16.553,-20.091,OK,1202,176,0
137,-0.380431,0.011652,0.781642,3.743,-16.569,-20.150,OK,1201,276,0
138,-0.384905,0.011302,0.783914,3.678,-16.570,-20.077,OK,1202,226,0
139,-0.388996,0.011443,0.787634,3.704,-16.528,-20.131,OK,1201,200,0
140,-0.392621,0.011484,0.792760,3.710,-16.502,-20.268,OK,1202,201,0
141,-0.396955,0.011649,0.798155,3.656,-16.443,-20.357,OK,1201,183,0
142,-0.400258,0.011603,0.802672,3.684,-16.425,-20.466,OK,1202,287,0
143,-0.404200,0.010709,0.806260,3.735,-16.490,-20.497,OK,1197,231,0
144,-0.408732,0.010954,0.810700,3.676,-16.435,-20.450,OK,1198,217,0
145,-0.412165,0.011237,0.814759,3.660,-16.371,-20.492,OK,1198,193,0
146,-0.415818,0.011803,0.818548,3.668,-16.283,-20.501,OK,1204,187,0
147,-0.419041,0.011892,0.821532,3.637,-16.238,-20.492,OK,1199,296,0
148,-0.422757,0.011990,0.827079,3.678,-16.207,-20.590,OK,1201,231,0
149,-0.426962,0.011198,0.832286,3.664,-16.264,-20.602,OK,1201,213,0
150,-0.430376,0.011158,0.835820,3.682,-16.232,-20.595,OK,1203,210,0
151,-0.434350,0.010655,0.841798,3.779,-16.297,-20.676,OK,1202,204,0
152,-0.437013,0.011970,0.841846,3.657,-16.053,-20.545,OK,1203,292,0
153,-0.439730,0.011712,0.844890,3.597,-16.021,-20.570,OK,1203,242,0
154,-0.443597,0.011715,0.849706,3.677,-16.009,-20.590,OK,1204,211,0
155,-0.446795,0.011014,0.852732,3.668,-16.047,-20.567,OK,1202,192,0
156,-0.450743,0.012094,0.856275,3.536,-15.888,-20.505,OK,1203,195,0
157,-0.454177,0.011868,0.860071,3.486,-15.879,-20.486,OK,1202,247,0
158,-0.457912,0.011974,0.863855,3.488,-15.838,-20.456,OK,1202,216,0
159,-0.460905,0.011825,0.867845,3.491,-15.810,-20.482,OK,1202,215,0
160,-0.464487,0.011827,0.871538,3.528,-15.796,-20.454,OK,1200,198,0
161,-0.467935,0.011244,0.875481,3.510,-15.830,-20.440,OK,1202,188,0
162,-0.471849,0.012662,0.880857,3.550,-15.650,-20.502,OK,1201,270,0
163,-0.475582,0.012960,0.885234,3.539,-15.555,-20.457,OK,1204,216,0
164,-0.478123,0.013001,0.888006,3.507,-15.528,-20.459,OK,1202,196,0
165,-0.481019,0.013316,0.891559,3.499,-15.441,-20.445,OK,1201,184,0
166,-0.484629,0.012814,0.894403,3.567,-15.439,-20.341,OK,1201,197,0
167,-0.486820,0.013873,0.896228,3.504,-15.282,-20.310,OK,1201,169,0
168,-0.490126,0.014189,0.899735,3.529,-15.203,-20.271,OK,1200,289,0
169,-0.492604,0.013911,0.903344,3.503,-15.195,-20.296,OK,1201,239,0
170,-0.495598,0.014730,0.906526,3.446,-15.050,-20.264,OK,1201,216,0
171,-0.498487,0.014989,0.911204,3.440,-14.979,-20.311,OK,1200,209,0
172,-0.501334,0.015427,0.913523,3.415,-14.872,-20.223,OK,1203,196,0
173,-0.505125,0.013707,0.916372,3.536,-15.055,-20.115,OK,1200,193,0
174,-0.507776,0.014405,0.920618,3.501,-14.916,-20.152,OK,1203,282,0
175,-0.511355,0.014877,0.924284,3.544,-14.823,-20.082,OK,1200,242,0
176,-0.514592,0.015041,0.927629,3.590,-14.760,-20.033,OK,1200,223,0
177,-0.517972,0.014660,0.931574,3.580,-14.759,-19.974,OK,1200,205,0
178,-0.518948,0.014847,0.933550,3.492,-14.685,-20.058,OK,1202,183,0
179,-0.521926,0.015083,0.936875,3.522,-14.620,-19.987,OK,1205,200,0
180,-0.524722,0.014384,0.940964,3.554,-14.626,-20.016,OK,1204,307,0
181,-0.527755,0.014734,0.945093,3.503,-14.507,-20.011,OK,1201,245,0
182,-0.531820,0.013967,0.948839,3.607,-14.556,-19.885,OK,1201,223,0
183,-0.534812,0.013843,0.952945,3.637,-14.511,-19.879,OK,1202,220,0
184,-0.537688,0.014187,0.955945,3.603,-14.415,-19.800,OK,1202,199,0
185,-0.540909,0.014969,0.958718,3.628,-14.244,-19.679,OK,1202,203,0
186,-0.543829,0.015639,0.961348,3.632,-14.097,-19.572,OK,1203,305,0
187,-0.547783,0.013992,0.967525,3.738,-14.311,-19.619,OK,1200,248,0
188,-0.550933,0.014378,0.970836,3.713,-14.186,-19.517,OK,1201,217,0
189,-0.553610,0.014167,0.974141,3.766,-14.188,-19.498,OK,1201,192,0
190,-0.557024,0.014048,0.978396,3.787,-14.154,-19.438,OK,1201,209,0
191,-0.559316,0.013942,0.981254,3.644,-14.111,-19.403,OK,1203,206,0
192,-0.562259,0.013661,0.986108,3.789,-14.123,-19.430,OK,1205,324,0
193,-0.564905,0.013595,0.989538,3.814,-14.082,-19.404,OK,1201,234,0
194,-0.567893,0.013536,0.992175,3.931,-14.063,-19.272,OK,1203,225,0
195,-0.570229,0.013671,0.995362,3.879,-13.987,-19.237,OK,1200,200,0
196,-0.573409,0.013736,0.999335,3.861,-13.921,-19.155,OK,1202,182,0
