frame_index,timestamp,tracking_state,n_keypoints,n_map_matches,is_keyframe,n_map_points_total
0,0.000000000,NOT_INITIALIZED,5065,0,0,0
1,0.033330928,NOT_INITIALIZED,5073,0,0,0
2,0.066661857,NOT_INITIALIZED,5092,0,0,0
3,0.099992785,NOT_INITIALIZED,5079,0,0,0
4,0.133323713,NOT_INITIALIZED,5104,0,0,0
5,0.166654642,NOT_INITIALIZED,5081,0,0,0
6,0.199985570,NOT_INITIALIZED,5105,0,0,0
7,0.233316498,NOT_INITIALIZED,5095,0,0,0
8,0.266647427,NOT_INITIALIZED,5131,0,0,0
9,0.299978355,NOT_INITIALIZED,5151,0,0,0
10,0.333309283,NOT_INITIALIZED,5187,0,0,0
11,0.366640212,NOT_INITIALIZED,5170,0,0,0
12,0.399971140,NOT_INITIALIZED,5201,0,0,0
13,0.433302068,NOT_INITIALIZED,5167,0,0,0
14,0.466632997,NOT_INITIALIZED,5175,0,0,0
15,0.499963925,NOT_INITIALIZED,5156,0,0,0
16,0.533294853,NOT_INITIALIZED,5130,0,0,0
17,0.566625782,NOT_INITIALIZED,5158,0,0,0
18,0.599956710,NOT_INITIALIZED,5159,0,0,0
19,0.633287638,NOT_INITIALIZED,5141,0,0,0
20,0.666618567,NOT_INITIALIZED,5228,0,0,0
21,0.699949495,NOT_INITIALIZED,5213,0,0,0
22,0.733280423,NOT_INITIALIZED,5201,0,0,0
23,0.766611352,NOT_INITIALIZED,5186,0,0,0
24,0.799942280,NOT_INITIALIZED,5233,0,0,0
25,0.833273208,NOT_INITIALIZED,5231,0,0,0
26,0.866604137,NOT_INITIALIZED,5132,0,0,0
27,0.899935065,NOT_INITIALIZED,5217,0,0,0
28,0.933265993,NOT_INITIALIZED,5197,0,0,0
29,0.966596922,NOT_INITIALIZED,5156,0,0,0
30,0.999927850,NOT_INITIALIZED,5140,0,0,0
31,1.033258778,NOT_INITIALIZED,5128,0,0,0
32,1.066589707,NOT_INITIALIZED,5136,0,0,0
33,1.099920635,NOT_INITIALIZED,5139,0,0,0
34,1.133251563,NOT_INITIALIZED,5159,0,0,0
35,1.166582492,NOT_INITIALIZED,5157,0,0,0
36,1.199913420,NOT_INITIALIZED,5194,0,0,0
37,1.233244348,NOT_INITIALIZED,5167,0,0,0
38,1.266575277,NOT_INITIALIZED,5218,0,0,0
39,1.299906205,NOT_INITIALIZED,5177,0,0,0
40,1.333237133,NOT_INITIALIZED,5187,0,0,0
41,1.366568062,OK,5213,190,0,190
42,1.399898990,OK,1208,125,0,253
43,1.433229918,OK,1207,126,0,276
44,1.466560847,OK,1204,124,0,293
45,1.499891775,OK,1206,117,0,299
46,1.533222703,OK,1205,118,0,319
47,1.566553632,OK,1204,105,0,329
48,1.599884560,OK,1206,110,0,343
49,1.633215488,OK,1204,123,0,352
50,1.666546417,OK,1209,129,0,365
51,1.699877345,OK,1206,120,0,371
52,1.733208273,OK,1205,107,0,376
53,1.766539202,OK,1205,98,0,379
54,1.799870130,OK,1205,124,0,404
55,1.833201058,OK,1201,114,0,411
56,1.866531987,OK,1205,144,0,448
57,1.899862915,OK,1201,151,0,473
58,1.933193843,OK,1203,135,0,480
59,1.966524772,OK,1201,145,0,502
60,1.999855700,OK,1203,142,0,509
61,2.033186628,OK,1205,173,0,548
62,2.066517557,OK,1205,164,0,562
63,2.099848485,OK,1203,199,0,594
64,2.133179413,OK,1206,183,0,602
65,2.166510342,OK,1202,197,0,633
66,2.199841270,OK,1205,189,0,647
67,2.233172198,OK,1205,195,0,677
68,2.266503127,OK,1204,184,0,685
69,2.299834055,OK,1204,189,0,709
70,2.333164983,OK,1205,192,0,718
71,2.366495911,OK,1208,239,0,792
72,2.399826840,OK,1207,231,0,803
73,2.433157768,OK,1208,204,0,808
74,2.466488696,OK,1204,197,0,830
75,2.499819625,OK,1208,198,0,836
76,2.533150553,OK,1204,206,0,860
77,2.566481481,OK,1204,203,0,869
78,2.599812410,OK,1204,228,0,898
79,2.633143338,OK,1203,222,0,908
80,2.666474266,OK,1205,212,0,915
81,2.699805195,OK,1206,233,0,946
82,2.733136123,OK,1202,235,0,955
83,2.766467051,OK,1206,216,0,957
84,2.799797980,OK,1205,259,0,1016
85,2.833128908,OK,1204,247,0,1029
86,2.866459836,OK,1206,221,0,1039
87,2.899790765,OK,1207,228,0,1062
88,2.933121693,OK,1204,244,0,1078
89,2.966452621,OK,1206,226,0,1083
90,2.999783550,OK,1204,250,0,1125
91,3.033114478,OK,1203,235,0,1134
92,3.066445406,OK,1204,216,0,1141
93,3.099776335,OK,1203,282,0,1210
94,3.133107263,OK,1205,238,0,1221
95,3.166438191,OK,1201,214,0,1226
96,3.199769120,OK,1200,258,0,1282
97,3.233100048,OK,1206,219,0,1290
98,3.266430976,OK,1202,225,0,1296
99,3.299761905,OK,1202,263,0,1348
100,3.333092833,OK,1204,236,0,1361
101,3.366423761,OK,1206,223,0,1366
102,3.399754690,OK,1204,247,0,1417
103,3.433085618,OK,1202,233,0,1431
104,3.466416546,OK,1204,213,0,1436
105,3.499747475,OK,1204,287,0,1509
106,3.533078403,OK,1200,230,0,1522
107,3.566409331,OK,1204,227,0,1530
108,3.599740260,OK,1205,245,0,1571
109,3.633071188,OK,1204,217,0,1586
110,3.666402116,OK,1207,220,0,1592
111,3.699733045,OK,1203,291,0,1684
112,3.733063973,OK,1202,202,0,1708
113,3.766394901,OK,1205,191,0,1712
114,3.799725830,OK,1207,166,0,1715
115,3.833056758,OK,1202,209,0,1791
116,3.866387686,OK,1204,175,0,1818
117,3.899718615,OK,1200,140,0,1827
118,3.933049543,OK,1202,130,0,1827
119,3.966380471,OK,1203,207,0,1913
120,3.999711400,OK,1202,167,0,1933
121,4.033042328,OK,1204,126,0,1937
122,4.066373256,OK,1201,138,0,1946
123,4.099704185,OK,1203,208,0,2036
124,4.133035113,OK,1205,170,0,2053
125,4.166366041,OK,1203,149,0,2062
126,4.199696970,OK,1203,156,0,2066
127,4.233027898,OK,1202,237,0,2169
128,4.266358826,OK,1201,198,0,2184
129,4.299689755,OK,1200,177,0,2191
130,4.333020683,OK,1203,178,0,2193
131,4.366351611,OK,1200,160,0,2193
132,4.399682540,OK,1201,263,0,2303
133,4.433013468,OK,1204,219,0,2323
134,4.466344396,OK,1203,203,0,2332
135,4.499675325,OK,1202,179,0,2334
136,4.533006253,OK,1202,176,0,2338
137,4.566337181,OK,1201,276,0,2452
138,4.599668110,OK,1202,226,0,2472
139,4.632999038,OK,1201,200,0,2476
140,4.666329966,OK,1202,201,0,2479
141,4.699660895,OK,1201,183,0,2480
142,4.732991823,OK,1202,287,0,2601
143,4.766322751,OK,1197,231,0,2611
144,4.799653680,OK,1198,217,0,2619
145,4.832984608,OK,1198,193,0,2624
146,4.866315536,OK,1204,187,0,2627
147,4.899646465,OK,1199,296,0,2744
148,4.932977393,OK,1201,231,0,2762
149,4.966308321,OK,1201,213,0,2768
150,4.999639250,OK,1203,210,0,2771
151,5.032970178,OK,1202,204,0,2773
152,5.066301106,OK,1203,292,0,2901
153,5.099632035,OK,1203,242,0,2914
154,5.132962963,OK,1204,211,0,2919
155,5.166293891,OK,1202,192,0,2921
156,5.199624820,OK,1203,195,0,2925
157,5.232955748,OK,1202,247,0,3003
158,5.266286676,OK,1202,216,0,3028
159,5.299617605,OK,1202,215,0,3035
160,5.332948533,OK,1200,198,0,3036
161,5.366279461,OK,1202,188,0,3037
