frame_index,timestamp,tracking_state,n_keypoints,n_map_matches,is_keyframe,n_map_points_total
0,0.000000000,NOT_INITIALIZED,5524,0,0,0
1,0.033318201,NOT_INITIALIZED,5491,0,0,0
2,0.066636403,NOT_INITIALIZED,5467,0,0,0
3,0.099954604,NOT_INITIALIZED,5506,0,0,0
4,0.133272806,NOT_INITIALIZED,5565,0,0,0
5,0.166591007,NOT_INITIALIZED,5512,0,0,0
6,0.199909209,NOT_INITIALIZED,5601,0,0,0
7,0.233227410,NOT_INITIALIZED,5504,0,0,0
8,0.266545612,NOT_INITIALIZED,5513,0,0,0
9,0.299863813,NOT_INITIALIZED,5479,0,0,0
10,0.333182015,NOT_INITIALIZED,5484,0,0,0
11,0.366500216,NOT_INITIALIZED,5485,0,0,0
12,0.399818418,NOT_INITIALIZED,5476,0,0,0
13,0.433136619,NOT_INITIALIZED,5490,0,0,0
14,0.466454821,NOT_INITIALIZED,5542,0,0,0
15,0.499773022,NOT_INITIALIZED,5530,0,0,0
16,0.533091224,NOT_INITIALIZED,5489,0,0,0
17,0.566409425,NOT_INITIALIZED,5568,0,0,0
18,0.599727626,NOT_INITIALIZED,5572,0,0,0
19,0.633045828,NOT_INITIALIZED,5549,0,0,0
20,0.666364029,NOT_INITIALIZED,5583,0,0,0
21,0.699682231,NOT_INITIALIZED,5454,0,0,0
22,0.733000432,NOT_INITIALIZED,5601,0,0,0
23,0.766318634,NOT_INITIALIZED,5541,0,0,0
24,0.799636835,NOT_INITIALIZED,5587,0,0,0
25,0.832955037,NOT_INITIALIZED,5519,0,0,0
26,0.866273238,NOT_INITIALIZED,5556,0,0,0
27,0.899591440,NOT_INITIALIZED,5434,0,0,0
28,0.932909641,NOT_INITIALIZED,5523,0,0,0
29,0.966227843,NOT_INITIALIZED,5519,0,0,0
30,0.999546044,NOT_INITIALIZED,5550,0,0,0
31,1.032864246,NOT_INITIALIZED,5513,0,0,0
32,1.066182447,NOT_INITIALIZED,5469,0,0,0
33,1.099500649,NOT_INITIALIZED,5479,0,0,0
34,1.132818850,NOT_INITIALIZED,5481,0,0,0
35,1.166137051,NOT_INITIALIZED,5493,0,0,0
36,1.199455253,NOT_INITIALIZED,5428,0,0,0
37,1.232773454,NOT_INITIALIZED,5483,0,0,0
38,1.266091656,NOT_INITIALIZED,5423,0,0,0
39,1.299409857,NOT_INITIALIZED,5431,0,0,0
40,1.332728059,NOT_INITIALIZED,5470,0,0,0
41,1.366046260,NOT_INITIALIZED,5466,0,0,0
42,1.399364462,NOT_INITIALIZED,5455,0,0,0
43,1.432682663,NOT_INITIALIZED,5475,0,0,0
44,1.466000865,NOT_INITIALIZED,5514,0,0,0
45,1.499319066,NOT_INITIALIZED,5545,0,0,0
46,1.532637268,NOT_INITIALIZED,5507,0,0,0
47,1.565955469,NOT_INITIALIZED,5441,0,0,0
48,1.599273671,NOT_INITIALIZED,5450,0,0,0
49,1.632591872,NOT_INITIALIZED,5376,0,0,0
50,1.665910073,NOT_INITIALIZED,5513,0,0,0
51,1.699228275,NOT_INITIALIZED,5514,0,0,0
52,1.732546476,NOT_INITIALIZED,5451,0,0,0
53,1.765864678,NOT_INITIALIZED,5451,0,0,0
54,1.799182879,NOT_INITIALIZED,5481,0,0,0
55,1.832501081,NOT_INITIALIZED,5484,0,0,0
56,1.865819282,NOT_INITIALIZED,5490,0,0,0
57,1.899137484,NOT_INITIALIZED,5544,0,0,0
58,1.932455685,NOT_INITIALIZED,5458,0,0,0
59,1.965773887,NOT_INITIALIZED,5489,0,0,0
60,1.999092088,NOT_INITIALIZED,5477,0,0,0
61,2.032410290,NOT_INITIALIZED,5373,0,0,0
62,2.065728491,NOT_INITIALIZED,5396,0,0,0
63,2.099046693,NOT_INITIALIZED,5427,0,0,0
64,2.132364894,NOT_INITIALIZED,5430,0,0,0
65,2.165683096,NOT_INITIALIZED,5456,0,0,0
66,2.199001297,NOT_INITIALIZED,5517,0,0,0
67,2.232319498,NOT_INITIALIZED,5415,0,0,0
68,2.265637700,NOT_INITIALIZED,5348,0,0,0
69,2.298955901,NOT_INITIALIZED,5402,0,0,0
70,2.332274103,NOT_INITIALIZED,5348,0,0,0
71,2.365592304,NOT_INITIALIZED,5293,0,0,0
72,2.398910506,NOT_INITIALIZED,5363,0,0,0
73,2.432228707,NOT_INITIALIZED,5302,0,0,0
74,2.465546909,NOT_INITIALIZED,5232,0,0,0
75,2.498865110,NOT_INITIALIZED,5308,0,0,0
76,2.532183312,NOT_INITIALIZED,5340,0,0,0
77,2.565501513,NOT_INITIALIZED,5215,0,0,0
78,2.598819715,NOT_INITIALIZED,5252,0,0,0
79,2.632137916,NOT_INITIALIZED,5270,0,0,0
80,2.665456118,NOT_INITIALIZED,5285,0,0,0
81,2.698774319,NOT_INITIALIZED,5396,0,0,0
82,2.732092521,NOT_INITIALIZED,5306,0,0,0
83,2.765410722,NOT_INITIALIZED,5292,0,0,0
84,2.798728923,NOT_INITIALIZED,5316,0,0,0
85,2.832047125,NOT_INITIALIZED,5245,0,0,0
86,2.865365326,NOT_INITIALIZED,5330,0,0,0
87,2.898683528,NOT_INITIALIZED,5213,0,0,0
88,2.932001729,NOT_INITIALIZED,5139,0,0,0
89,2.965319931,NOT_INITIALIZED,5174,0,0,0
90,2.998638132,NOT_INITIALIZED,5120,0,0,0
91,3.031956334,NOT_INITIALIZED,5095,0,0,0
92,3.065274535,NOT_INITIALIZED,5033,0,0,0
93,3.098592737,NOT_INITIALIZED,5082,0,0,0
94,3.131910938,NOT_INITIALIZED,5030,0,0,0
95,3.165229140,NOT_INITIALIZED,5015,0,0,0
96,3.198547341,NOT_INITIALIZED,5021,0,0,0
97,3.231865543,NOT_INITIALIZED,5036,0,0,0
98,3.265183744,NOT_INITIALIZED,4961,0,0,0
99,3.298501946,NOT_INITIALIZED,4821,0,0,0
100,3.331820147,NOT_INITIALIZED,4795,0,0,0
101,3.365138348,NOT_INITIALIZED,4721,0,0,0
102,3.398456550,NOT_INITIALIZED,4737,0,0,0
103,3.431774751,NOT_INITIALIZED,4722,0,0,0
104,3.465092953,NOT_INITIALIZED,4706,0,0,0
105,3.498411154,NOT_INITIALIZED,4680,0,0,0
106,3.531729356,NOT_INITIALIZED,4535,0,1,0
107,3.565047557,NOT_INITIALIZED,4552,0,0,0
108,3.598365759,NOT_INITIALIZED,4336,0,0,0
109,3.631683960,NOT_INITIALIZED,4295,0,0,0
110,3.665002162,NOT_INITIALIZED,4376,0,0,0
111,3.698320363,NOT_INITIALIZED,4030,0,0,0
112,3.731638565,NOT_INITIALIZED,4127,0,0,0
113,3.764956766,NOT_INITIALIZED,4119,0,0,0
114,3.798274968,NOT_INITIALIZED,4042,0,0,0
115,3.831593169,NOT_INITIALIZED,3926,0,0,0
116,3.864911371,OK,3988,127,1,127
117,3.898229572,OK,1201,82,0,152
118,3.931547773,OK,1207,84,1,166
119,3.964865975,OK,1206,111,0,201
120,3.998184176,OK,1205,102,1,204
121,4.031502378,OK,1201,110,0,232
122,4.064820579,OK,1205,135,0,258
123,4.098138781,OK,1202,121,1,271
124,4.131456982,OK,1203,121,0,289
125,4.164775184,OK,1205,113,1,292
126,4.198093385,OK,1204,131,0,322
127,4.231411587,OK,1203,125,1,333
128,4.264729788,OK,1202,128,0,349
129,4.298047990,OK,1207,123,1,357
130,4.331366191,OK,1203,112,0,377
131,4.364684393,OK,1206,115,1,384
132,4.398002594,OK,1204,130,0,412
133,4.431320796,OK,1202,136,0,422
134,4.464638997,OK,1203,143,0,448
135,4.497957198,OK,1202,136,1,451
136,4.531275400,OK,1194,151,0,483
137,4.564593601,OK,1203,140,1,497
138,4.597911803,OK,1198,160,0,529
139,4.631230004,OK,1202,140,1,545
140,4.664548206,OK,1202,154,0,578
141,4.697866407,OK,1202,130,1,582
142,4.731184609,OK,1202,127,0,601
143,4.764502810,OK,1203,122,1,605
144,4.797821012,OK,1203,108,0,625
145,4.831139213,OK,1204,105,0,630
146,4.864457415,OK,1207,124,0,652
147,4.897775616,OK,1203,107,1,660
148,4.931093818,OK,1202,100,0,679
149,4.964412019,OK,1204,100,0,686
150,4.997730220,OK,1206,107,0,713
151,5.031048422,OK,1201,80,0,717
152,5.064366623,OK,1203,83,1,721
153,5.097684825,OK,1202,101,0,750
154,5.131003026,OK,1202,98,0,757
155,5.164321228,OK,1204,77,1,757
156,5.197639429,OK,1206,102,0,784
157,5.230957631,OK,1203,84,0,788
158,5.264275832,OK,1204,81,1,795
159,5.297594034,OK,1206,100,0,826
160,5.330912235,OK,1202,89,0,829
161,5.364230437,OK,1204,80,1,830
162,5.397548638,OK,1206,107,0,865
163,5.430866840,OK,1206,86,0,870
164,5.464185041,OK,1203,90,1,871
165,5.497503243,OK,1203,113,0,899
166,5.530821444,OK,1202,101,0,907
167,5.564139645,OK,1204,86,1,910
168,5.597457847,OK,1207,128,0,948
169,5.630776048,OK,1209,110,0,957
170,5.664094250,OK,1205,97,1,961
171,5.697412451,OK,1203,109,0,979
172,5.730730653,OK,1205,101,0,989
173,5.764048854,OK,1205,94,1,992
