frame_index,timestamp,tracking_state,n_keypoints,n_map_matches,is_keyframe,n_map_points_total
0,0.000000000,NOT_INITIALIZED,6006,0,0,0
1,0.033387097,NOT_INITIALIZED,6008,0,0,0
2,0.066774194,NOT_INITIALIZED,6008,0,0,0
3,0.100161290,NOT_INITIALIZED,6006,0,0,0
4,0.133548387,NOT_INITIALIZED,6007,0,0,0
5,0.166935484,NOT_INITIALIZED,6007,0,0,0
6,0.200322581,NOT_INITIALIZED,6003,0,0,0
7,0.233709677,NOT_INITIALIZED,6008,0,0,0
8,0.267096774,NOT_INITIALIZED,6005,0,0,0
9,0.300483871,NOT_INITIALIZED,6003,0,0,0
10,0.333870968,NOT_INITIALIZED,6008,0,0,0
11,0.367258065,NOT_INITIALIZED,6007,0,0,0
12,0.400645161,NOT_INITIALIZED,6002,0,0,0
13,0.434032258,NOT_INITIALIZED,6005,0,0,0
14,0.467419355,NOT_INITIALIZED,6009,0,0,0
15,0.500806452,NOT_INITIALIZED,6006,0,0,0
16,0.534193548,NOT_INITIALIZED,6005,0,0,0
17,0.567580645,NOT_INITIALIZED,6001,0,0,0
18,0.600967742,NOT_INITIALIZED,6004,0,0,0
19,0.634354839,NOT_INITIALIZED,6005,0,0,0
20,0.667741935,NOT_INITIALIZED,6007,0,0,0
21,0.701129032,NOT_INITIALIZED,6006,0,0,0
22,0.734516129,NOT_INITIALIZED,6010,0,0,0
23,0.767903226,NOT_INITIALIZED,6005,0,0,0
24,0.801290323,NOT_INITIALIZED,6002,0,0,0
25,0.834677419,NOT_INITIALIZED,6006,0,0,0
26,0.868064516,NOT_INITIALIZED,6006,0,0,0
27,0.901451613,NOT_INITIALIZED,6005,0,0,0
28,0.934838710,NOT_INITIALIZED,6005,0,0,0
29,0.968225806,NOT_INITIALIZED,6004,0,0,0
30,1.001612903,NOT_INITIALIZED,6004,0,0,0
31,1.035000000,NOT_INITIALIZED,6006,0,0,0
32,1.068387097,NOT_INITIALIZED,6002,0,0,0
33,1.101774194,NOT_INITIALIZED,6006,0,0,0
34,1.135161290,NOT_INITIALIZED,6002,0,0,0
35,1.168548387,NOT_INITIALIZED,6002,0,0,0
36,1.201935484,NOT_INITIALIZED,6005,0,0,0
37,1.235322581,NOT_INITIALIZED,6008,0,0,0
38,1.268709677,NOT_INITIALIZED,6007,0,0,0
39,1.302096774,NOT_INITIALIZED,6005,0,0,0
40,1.335483871,NOT_INITIALIZED,6005,0,0,0
41,1.368870968,NOT_INITIALIZED,6002,0,0,0
42,1.402258065,NOT_INITIALIZED,6005,0,0,0
43,1.435645161,NOT_INITIALIZED,6001,0,0,0
44,1.469032258,NOT_INITIALIZED,6004,0,0,0
45,1.502419355,NOT_INITIALIZED,6005,0,0,0
46,1.535806452,NOT_INITIALIZED,6003,0,0,0
47,1.569193548,NOT_INITIALIZED,6003,0,0,0
48,1.602580645,NOT_INITIALIZED,6003,0,0,0
49,1.635967742,NOT_INITIALIZED,6004,0,0,0
50,1.669354839,NOT_INITIALIZED,6006,0,0,0
51,1.702741935,NOT_INITIALIZED,6004,0,0,0
52,1.736129032,NOT_INITIALIZED,6004,0,0,0
53,1.769516129,NOT_INITIALIZED,6005,0,0,0
54,1.802903226,NOT_INITIALIZED,6005,0,0,0
55,1.836290323,NOT_INITIALIZED,6006,0,0,0
56,1.869677419,NOT_INITIALIZED,6003,0,0,0
57,1.903064516,NOT_INITIALIZED,6004,0,0,0
58,1.936451613,NOT_INITIALIZED,6008,0,0,0
59,1.969838710,NOT_INITIALIZED,6007,0,1,0
60,2.003225806,NOT_INITIALIZED,6005,0,0,0
61,2.036612903,NOT_INITIALIZED,6010,0,0,0
62,2.070000000,NOT_INITIALIZED,6004,0,0,0
63,2.103387097,NOT_INITIALIZED,6006,0,0,0
64,2.136774194,NOT_INITIALIZED,6008,0,0,0
65,2.170161290,NOT_INITIALIZED,6006,0,0,0
66,2.203548387,NOT_INITIALIZED,6003,0,0,0
67,2.236935484,NOT_INITIALIZED,6005,0,0,0
68,2.270322581,NOT_INITIALIZED,6004,0,0,0
69,2.303709677,NOT_INITIALIZED,6002,0,0,0
70,2.337096774,OK,6003,193,1,193
71,2.370483871,OK,1208,73,0,211
72,2.403870968,OK,1204,71,1,217
73,2.437258065,OK,1209,90,0,239
74,2.470645161,OK,1205,83,0,243
75,2.504032258,OK,1207,86,0,243
76,2.537419355,OK,1208,84,0,244
77,2.570806452,OK,1209,78,1,244
78,2.604193548,OK,1203,88,1,261
79,2.637580645,OK,1211,95,0,287
80,2.670967742,OK,1205,92,1,303
81,2.704354839,OK,1205,115,0,324
82,2.737741935,OK,1210,109,0,329
83,2.771129032,OK,1210,134,0,358
84,2.804516129,OK,1209,111,0,366
85,2.837903226,OK,1203,137,0,392
86,2.871290323,OK,1208,132,1,397
87,2.904677419,OK,1204,145,1,423
88,2.938064516,OK,1206,152,0,440
89,2.971451613,OK,1204,165,0,463
90,3.004838710,OK,1211,152,0,469
91,3.038225806,OK,1209,154,0,489
92,3.071612903,OK,1208,149,0,492
93,3.105000000,OK,1207,150,0,506
94,3.138387097,OK,1208,140,1,509
95,3.171774194,OK,1206,155,0,528
96,3.205161290,OK,1208,145,0,535
97,3.238548387,OK,1207,151,0,554
98,3.271935484,OK,1209,138,1,563
99,3.305322581,OK,1209,163,0,595
100,3.338709677,OK,1202,153,0,602
101,3.372096774,OK,1204,166,0,622
102,3.405483871,OK,1206,168,0,628
103,3.438870968,OK,1207,164,0,630
104,3.472258065,OK,1207,158,0,648
105,3.505645161,OK,1209,162,0,651
106,3.539032258,OK,1207,167,0,672
107,3.572419355,OK,1206,163,1,676
108,3.605806452,OK,1205,183,0,698
109,3.639193548,OK,1205,172,1,704
110,3.672580645,OK,1209,172,0,725
111,3.705967742,OK,1208,175,0,733
112,3.739354839,OK,1206,154,0,735
113,3.772741935,OK,1205,183,0,754
114,3.806129032,OK,1207,162,0,759
115,3.839516129,OK,1203,152,1,762
116,3.872903226,OK,1208,156,0,778
117,3.906290323,OK,1205,165,0,783
118,3.939677419,OK,1207,162,0,785
119,3.973064516,OK,1209,143,1,785
120,4.006451613,OK,1208,149,0,801
121,4.039838710,OK,1209,152,0,805
122,4.073225806,OK,1207,153,0,806
123,4.106612903,OK,1206,140,0,806
124,4.140000000,OK,1210,151,0,820
125,4.173387097,OK,1211,149,0,826
126,4.206774194,OK,1212,140,0,828
127,4.240161290,OK,1211,150,0,848
128,4.273548387,OK,1213,144,1,855
129,4.306935484,OK,1205,162,0,876
130,4.340322581,OK,1210,146,1,881
131,4.373709677,OK,1204,162,0,901
132,4.407096774,OK,1211,137,0,904
133,4.440483871,OK,1207,149,0,921
134,4.473870968,OK,1210,145,0,925
135,4.507258065,OK,1211,137,0,929
136,4.540645161,OK,1208,144,0,950
137,4.574032258,OK,1208,148,1,955
138,4.607419355,OK,1207,158,0,975
139,4.640806452,OK,1208,140,1,979
140,4.674193548,OK,1208,145,0,998
141,4.707580645,OK,1208,160,0,1000
142,4.740967742,OK,1210,148,0,1002
143,4.774354839,OK,1205,173,0,1020
144,4.807741935,OK,1210,148,0,1021
145,4.841129032,OK,1207,149,0,1037
146,4.874516129,OK,1209,151,0,1041
147,4.907903226,OK,1206,141,0,1045
148,4.941290323,OK,1211,141,0,1065
149,4.974677419,OK,1209,150,1,1071
150,5.008064516,OK,1203,152,0,1086
151,5.041451613,OK,1206,146,1,1092
152,5.074838710,OK,1209,156,0,1108
153,5.108225806,OK,1207,143,1,1110
154,5.141612903,OK,1205,171,0,1135
155,5.175000000,OK,1209,152,0,1139
156,5.208387097,OK,1207,147,0,1144
157,5.241774194,OK,1206,154,0,1161
158,5.275161290,OK,1208,138,1,1162
159,5.308548387,OK,1208,163,0,1185
160,5.341935484,OK,1213,149,0,1189
161,5.375322581,OK,1207,143,0,1189
162,5.408709677,OK,1207,174,0,1223
163,5.442096774,OK,1206,169,0,1231
164,5.475483871,OK,1208,157,0,1235
165,5.508870968,OK,1210,150,0,1235
166,5.542258065,OK,1209,184,0,1279
167,5.575645161,OK,1207,178,0,1285
168,5.609032258,OK,1207,160,0,1289
169,5.642419355,OK,1208,183,0,1318
170,5.675806452,OK,1212,180,0,1321
171,5.709193548,OK,1212,162,1,1324
172,5.742580645,OK,1210,188,0,1364
173,5.775967742,OK,1206,180,0,1369
174,5.809354839,OK,1206,172,1,1370
175,5.842741935,OK,1209,207,0,1415
176,5.876129032,OK,1209,199,0,1425
177,5.909516129,OK,1208,181,0,1426
178,5.942903226,OK,1208,167,0,1443
179,5.976290323,OK,1209,159,0,1445
180,6.009677419,OK,1205,159,1,1445
181,6.043064516,OK,1209,167,0,1466
182,6.076451613,OK,1207,157,0,1472
183,6.109838710,OK,1208,145,1,1472
184,6.143225806,OK,1207,196,0,1521
185,6.176612903,OK,1208,171,0,1529
186,6.210000000,OK,1208,158,1,1530
187,6.243387097,OK,1206,203,0,1580
188,6.276774194,OK,1204,181,0,1587
189,6.310161290,OK,1208,167,0,1589
190,6.343548387,OK,1204,194,0,1642
