frame,x,y,z,roll,pitch,yaw,tracking_state,n_keypoints,n_map_matches,is_keyframe
0,-0.026358,-0.001153,0.086403,7.661,-14.925,-2.184,NOT_INITIALIZED,5524,0,0
1,-0.028279,-0.001247,0.094227,7.674,-14.914,-2.334,NOT_INITIALIZED,5491,0,0
2,-0.030987,-0.001019,0.102744,7.651,-14.875,-2.434,NOT_INITIALIZED,5467,0,0
3,-0.033928,-0.001218,0.110568,7.582,-14.854,-2.514,NOT_INITIALIZED,5506,0,0
4,-0.036764,-0.001026,0.118783,7.545,-14.816,-2.609,NOT_INITIALIZED,5565,0,0
5,-0.039570,-0.001589,0.126040,7.561,-14.823,-2.702,NOT_INITIALIZED,5512,0,0
6,-0.042439,-0.001866,0.133082,7.532,-14.805,-2.780,NOT_INITIALIZED,5601,0,0
7,-0.045034,-0.001691,0.141336,7.508,-14.765,-2.895,NOT_INITIALIZED,5504,0,0
8,-0.047656,-0.002200,0.149767,7.507,-14.772,-3.030,NOT_INITIALIZED,5513,0,0
9,-0.050231,-0.001628,0.158724,7.451,-14.704,-3.179,NOT_INITIALIZED,5479,0,0
10,-0.053435,-0.001672,0.167340,7.465,-14.678,-3.287,NOT_INITIALIZED,5484,0,0
11,-0.056082,-0.001045,0.176171,7.378,-14.606,-3.431,NOT_INITIALIZED,5485,0,0
12,-0.058839,-0.000558,0.184384,7.343,-14.531,-3.547,NOT_INITIALIZED,5476,0,0
13,-0.061214,-0.002237,0.192827,7.342,-14.622,-3.699,NOT_INITIALIZED,5490,0,0
14,-0.064261,-0.001977,0.200359,7.319,-14.559,-3.796,NOT_INITIALIZED,5542,0,0
15,-0.066486,-0.001381,0.208993,7.258,-14.485,-3.971,NOT_INITIALIZED,5530,0,0
16,-0.069112,-0.001771,0.217229,7.262,-14.490,-4.106,NOT_INITIALIZED,5489,0,0
17,-0.072290,-0.002661,0.224276,7.250,-14.515,-4.185,NOT_INITIALIZED,5568,0,0
18,-0.075166,-0.002361,0.233013,7.241,-14.469,-4.323,NOT_INITIALIZED,5572,0,0
19,-0.077849,-0.002264,0.241133,7.215,-14.437,-4.452,NOT_INITIALIZED,5549,0,0
20,-0.080206,-0.002772,0.248542,7.208,-14.439,-4.595,NOT_INITIALIZED,5583,0,0
21,-0.082591,-0.002790,0.255733,7.164,-14.401,-4.729,NOT_INITIALIZED,5454,0,0
22,-0.085619,-0.002918,0.262934,7.139,-14.374,-4.813,NOT_INITIALIZED,5601,0,0
23,-0.087999,-0.002998,0.270404,7.167,-14.361,-4.965,NOT_INITIALIZED,5541,0,0
24,-0.090265,-0.003295,0.277303,7.168,-14.349,-5.103,NOT_INITIALIZED,5587,0,0
25,-0.092800,-0.003700,0.282612,7.176,-14.344,-5.184,NOT_INITIALIZED,5519,0,0
26,-0.095541,-0.004174,0.289219,7.167,-14.336,-5.286,NOT_INITIALIZED,5556,0,0
27,-0.098739,-0.004705,0.297154,7.231,-14.360,-5.386,NOT_INITIALIZED,5434,0,0
28,-0.101545,-0.004390,0.305393,7.222,-14.309,-5.554,NOT_INITIALIZED,5523,0,0
29,-0.104479,-0.004652,0.313487,7.272,-14.312,-5.704,NOT_INITIALIZED,5519,0,0
30,-0.107678,-0.005148,0.320138,7.295,-14.309,-5.827,NOT_INITIALIZED,5550,0,0
31,-0.110596,-0.005938,0.326397,7.341,-14.314,-5.950,NOT_INITIALIZED,5513,0,0
32,-0.114015,-0.006371,0.334214,7.364,-14.317,-6.082,NOT_INITIALIZED,5469,0,0
33,-0.117331,-0.006539,0.340667,7.393,-14.291,-6.159,NOT_INITIALIZED,5479,0,0
34,-0.120314,-0.006698,0.348010,7.448,-14.286,-6.317,NOT_INITIALIZED,5481,0,0
35,-0.122956,-0.007544,0.353819,7.412,-14.277,-6.429,NOT_INITIALIZED,5493,0,0
36,-0.125761,-0.007664,0.361350,7.518,-14.297,-6.585,NOT_INITIALIZED,5428,0,0
37,-0.129051,-0.008061,0.367957,7.554,-14.301,-6.649,NOT_INITIALIZED,5483,0,0
38,-0.131847,-0.008678,0.373428,7.589,-14.304,-6.741,NOT_INITIALIZED,5423,0,0
39,-0.135304,-0.009195,0.381842,7.592,-14.306,-6.843,NOT_INITIALIZED,5431,0,0
