frame,x,y,z,roll,pitch,yaw,tracking_state,n_keypoints,n_map_matches,is_keyframe
0,-0.060442,-0.006718,0.164241,-2.729,-13.420,0.391,NOT_INITIALIZED,5765,0,1
1,-0.063997,-0.006644,0.175756,-2.732,-13.430,0.370,NOT_INITIALIZED,5759,0,0
2,-0.065587,-0.007461,0.184728,-2.749,-13.475,0.336,NOT_INITIALIZED,5781,0,0
3,-0.068626,-0.007553,0.195224,-2.747,-13.465,0.311,NOT_INITIALIZED,5756,0,0
4,-0.072712,-0.008217,0.207020,-2.751,-13.503,0.288,NOT_INITIALIZED,5789,0,0
5,-0.075425,-0.007735,0.218923,-2.727,-13.517,0.232,NOT_INITIALIZED,5789,0,0
6,-0.079038,-0.008004,0.229436,-2.729,-13.542,0.209,NOT_INITIALIZED,5776,0,0
7,-0.083013,-0.007994,0.239642,-2.743,-13.541,0.204,NOT_INITIALIZED,5773,0,0
8,-0.085475,-0.007792,0.251793,-2.741,-13.557,0.153,NOT_INITIALIZED,5782,0,0
9,-0.091680,-0.009681,0.261390,-2.769,-13.613,0.208,NOT_INITIALIZED,5762,0,0
10,-0.096683,-0.008911,0.273691,-2.768,-13.603,0.210,NOT_INITIALIZED,5755,0,0
11,-0.100503,-0.009330,0.284221,-2.767,-13.624,0.198,NOT_INITIALIZED,5780,0,0
12,-0.104971,-0.009698,0.295629,-2.769,-13.648,0.201,NOT_INITIALIZED,5775,0,0
13,-0.108496,-0.010293,0.308419,-2.781,-13.679,0.176,NOT_INITIALIZED,5777,0,0
14,-0.113651,-0.010480,0.318682,-2.765,-13.696,0.204,NOT_INITIALIZED,5751,0,0
15,-0.116296,-0.010525,0.328206,-2.743,-13.713,0.176,NOT_INITIALIZED,5765,0,0
16,-0.119658,-0.011088,0.339426,-2.750,-13.747,0.168,NOT_INITIALIZED,5767,0,0
17,-0.123305,-0.012063,0.346834,-2.771,-13.778,0.190,NOT_INITIALIZED,5771,0,0
18,-0.126726,-0.012001,0.356551,-2.757,-13.799,0.188,NOT_INITIALIZED,5761,0,0
19,-0.128861,-0.012238,0.364964,-2.762,-13.811,0.160,NOT_INITIALIZED,5765,0,0
20,-0.132324,-0.011718,0.374748,-2.762,-13.814,0.160,NOT_INITIALIZED,5779,0,0
21,-0.134518,-0.012519,0.383430,-2.742,-13.866,0.136,NOT_INITIALIZED,5794,0,0
22,-0.137855,-0.012123,0.392869,-2.746,-13.873,0.136,NOT_INITIALIZED,5783,0,0
23,-0.140662,-0.012968,0.401684,-2.726,-13.914,0.122,NOT_INITIALIZED,5796,0,0
24,-0.143875,-0.013017,0.411185,-2.729,-13.941,0.119,NOT_INITIALIZED,5792,0,0
25,-0.147950,-0.012301,0.420615,-2.729,-13.935,0.151,NOT_INITIALIZED,5789,0,0
26,-0.151648,-0.012899,0.430540,-2.729,-13.969,0.147,NOT_INITIALIZED,5777,0,0
27,-0.155622,-0.012867,0.439465,-2.719,-13.976,0.175,NOT_INITIALIZED,5780,0,0
28,-0.159967,-0.012940,0.451285,-2.734,-13.990,0.177,NOT_INITIALIZED,5786,0,0
29,-0.163626,-0.013149,0.461619,-2.711,-14.008,0.181,NOT_INITIALIZED,5773,0,0
30,-0.167600,-0.013449,0.472359,-2.724,-14.019,0.180,NOT_INITIALIZED,5776,0,0
31,-0.172122,-0.013413,0.485382,-2.721,-14.041,0.166,NOT_INITIALIZED,5802,0,0
32,-0.176381,-0.013529,0.496454,-2.718,-14.066,0.154,NOT_INITIALIZED,5786,0,0
33,-0.180809,-0.013633,0.508483,-2.703,-14.088,0.146,NOT_INITIALIZED,5792,0,0
34,-0.184785,-0.014365,0.519603,-2.699,-14.129,0.136,NOT_INITIALIZED,5779,0,0
35,-0.188819,-0.014876,0.529552,-2.701,-14.150,0.139,NOT_INITIALIZED,5795,0,0
36,-0.192739,-0.014983,0.541708,-2.702,-14.167,0.126,NOT_INITIALIZED,5785,0,0
37,-0.196946,-0.014976,0.553648,-2.686,-14.181,0.113,NOT_INITIALIZED,5761,0,0
38,-0.201537,-0.015237,0.564616,-2.695,-14.193,0.125,NOT_INITIALIZED,5746,0,0
39,-0.205456,-0.016103,0.576291,-2.667,-14.228,0.099,NOT_INITIALIZED,5751,0,0
40,-0.209309,-0.015357,0.587150,-2.687,-14.206,0.097,NOT_INITIALIZED,5761,0,0
41,-0.213007,-0.015585,0.598370,-2.679,-14.233,0.084,NOT_INITIALIZED,5721,0,0
42,-0.216605,-0.016007,0.608579,-2.685,-14.245,0.078,NOT_INITIALIZED,5750,0,0
43,-0.220391,-0.016019,0.619586,-2.706,-14.249,0.073,NOT_INITIALIZED,5735,0,0
44,-0.223995,-0.016272,0.628965,-2.704,-14.259,0.074,NOT_INITIALIZED,5727,0,0
45,-0.227457,-0.017272,0.640562,-2.665,-14.309,0.042,NOT_INITIALIZED,5724,0,0
46,-0.231890,-0.017392,0.651399,-2.682,-14.319,0.048,NOT_INITIALIZED,5710,0,0
47,-0.235253,-0.017038,0.664066,-2.696,-14.318,0.021,NOT_INITIALIZED,5727,0,0
48,-0.239416,-0.017509,0.673394,-2.695,-14.333,0.041,NOT_INITIALIZED,5733,0,0
49,-0.242948,-0.017470,0.684733,-2.698,-14.332,0.030,NOT_INITIALIZED,5759,0,0
50,-0.246172,-0.018338,0.695295,-2.680,-14.375,0.012,NOT_INITIALIZED,5706,0,0
51,-0.250251,-0.018126,0.706413,-2.724,-14.348,0.019,NOT_INITIALIZED,5743,0,0
52,-0.254209,-0.018313,0.717365,-2.717,-14.361,0.010,NOT_INITIALIZED,5736,0,0
53,-0.257855,-0.018499,0.728034,-2.712,-14.371,-0.001,OK,5705,176,1
54,-0.261016,-0.018864,0.739078,-2.695,-14.385,-0.027,OK,1206,100,0
55,-0.265078,-0.018517,0.747904,-2.731,-14.363,-0.005,OK,1210,105,1
56,-0.268088,-0.019308,0.757821,-2.722,-14.393,-0.023,OK,1206,122,0
57,-0.271404,-0.019372,0.767316,-2.738,-14.371,-0.029,OK,1206,113,1
58,-0.274611,-0.019645,0.776889,-2.731,-14.392,-0.043,OK,1203,131,0
59,-0.277958,-0.019934,0.787127,-2.714,-14.396,-0.063,OK,1206,139,1
60,-0.280877,-0.020348,0.795137,-2.714,-14.403,-0.070,OK,1204,149,0
61,-0.284271,-0.020674,0.804149,-2.730,-14.407,-0.077,OK,1205,155,0
62,-0.287746,-0.020048,0.813869,-2.759,-14.373,-0.085,OK,1202,172,0
63,-0.290853,-0.020522,0.820988,-2.752,-14.383,-0.092,OK,1208,170,1
64,-0.293887,-0.020351,0.831337,-2.774,-14.370,-0.124,OK,1207,177,0
65,-0.297024,-0.020958,0.840382,-2.766,-14.383,-0.150,OK,1204,163,0
66,-0.300716,-0.020709,0.850072,-2.777,-14.369,-0.169,OK,1208,180,0
67,-0.303728,-0.021435,0.859393,-2.764,-14.388,-0.214,OK,1207,169,1
68,-0.307550,-0.021621,0.868625,-2.771,-14.384,-0.238,OK,1205,182,0
69,-0.311295,-0.021665,0.878395,-2.792,-14.369,-0.265,OK,1205,194,0
70,-0.314908,-0.021464,0.888155,-2.787,-14.372,-0.301,OK,1203,185,0
71,-0.318403,-0.021982,0.897126,-2.792,-14.384,-0.343,OK,1208,204,0
72,-0.322948,-0.021744,0.907928,-2.812,-14.366,-0.380,OK,1204,201,0
73,-0.326557,-0.022128,0.916909,-2.820,-14.371,-0.429,OK,1204,212,0
74,-0.330713,-0.022277,0.925452,-2.825,-14.368,-0.455,OK,1205,207,1
75,-0.334544,-0.022503,0.935759,-2.827,-14.370,-0.501,OK,1207,221,0
76,-0.338546,-0.022333,0.947772,-2.867,-14.343,-0.555,OK,1206,202,0
77,-0.342589,-0.022497,0.957200,-2.872,-14.336,-0.591,OK,1208,215,0
78,-0.346256,-0.023300,0.968190,-2.841,-14.363,-0.650,OK,1210,228,0
79,-0.350043,-0.023029,0.977788,-2.875,-14.335,-0.693,OK,1209,227,0
80,-0.353907,-0.023238,0.986825,-2.895,-14.335,-0.733,OK,1203,230,0
81,-0.358148,-0.023365,0.997088,-2.881,-14.330,-0.763,OK,1208,245,0
82,-0.362251,-0.023097,1.007677,-2.918,-14.302,-0.812,OK,1208,235,0
83,-0.366050,-0.023358,1.018439,-2.933,-14.298,-0.875,OK,1206,248,0
84,-0.369566,-0.023622,1.027266,-2.929,-14.301,-0.914,OK,1206,233,0
85,-0.373931,-0.023760,1.037900,-2.950,-14.287,-0.965,OK,1205,257,1
86,-0.377922,-0.024369,1.048171,-2.925,-14.313,-1.030,OK,1203,263,0
87,-0.382152,-0.025112,1.060003,-2.936,-14.321,-1.100,OK,1203,249,1
88,-0.386143,-0.025350,1.068764,-2.948,-14.304,-1.147,OK,1209,263,0
89,-0.391011,-0.025495,1.083599,-2.970,-14.296,-1.235,OK,1205,259,0
