frame,x,y,z,roll,pitch,yaw,tracking_state,n_keypoints,n_map_matches,is_keyframe
0,-0.049097,-0.001419,0.122033,-72.259,15.903,-11.037,NOT_INITIALIZED,3944,0,0
1,-0.052779,-0.001293,0.126979,-72.228,15.913,-10.957,NOT_INITIALIZED,3931,0,0
2,-0.055648,-0.000344,0.133131,-72.176,15.955,-10.944,NOT_INITIALIZED,3734,0,0
3,-0.058702,-0.002216,0.138041,-72.162,15.843,-10.911,NOT_INITIALIZED,3786,0,0
4,-0.060885,-0.002866,0.143926,-72.156,15.801,-10.936,NOT_INITIALIZED,3766,0,0
5,-0.065492,-0.000737,0.145919,-72.104,15.920,-10.713,NOT_INITIALIZED,3662,0,0
6,-0.068199,-0.001998,0.150463,-72.038,15.813,-10.664,NOT_INITIALIZED,3683,0,0
7,-0.070794,-0.001816,0.155960,-72.043,15.822,-10.661,NOT_INITIALIZED,3725,0,0
8,-0.072864,-0.002107,0.161471,-72.040,15.790,-10.699,NOT_INITIALIZED,3560,0,0
9,-0.075704,-0.001533,0.166665,-71.980,15.793,-10.663,NOT_INITIALIZED,3131,0,0
10,-0.078395,-0.001733,0.172382,-71.981,15.757,-10.672,NOT_INITIALIZED,2920,0,0
11,-0.080374,-0.001352,0.177540,-71.984,15.773,-10.712,NOT_INITIALIZED,2910,0,0
12,-0.082313,-0.000769,0.182100,-72.061,15.814,-10.760,NOT_INITIALIZED,2916,0,0
13,-0.086541,-0.001672,0.189620,-71.999,15.682,-10.710,NOT_INITIALIZED,3063,0,0
14,-0.088807,-0.001411,0.194842,-72.003,15.667,-10.733,NOT_INITIALIZED,2854,0,0
15,-0.091190,-0.001081,0.199871,-71.992,15.656,-10.736,NOT_INITIALIZED,2748,0,0
16,-0.093767,-0.001141,0.205534,-72.029,15.619,-10.771,NOT_INITIALIZED,2887,0,0
17,-0.096398,-0.001687,0.210454,-71.990,15.519,-10.748,NOT_INITIALIZED,2931,0,0
18,-0.098716,-0.001656,0.215598,-72.031,15.478,-10.781,NOT_INITIALIZED,2763,0,0
19,-0.101022,-0.001736,0.220298,-71.998,15.418,-10.783,NOT_INITIALIZED,2790,0,0
20,-0.103387,-0.001750,0.225337,-71.994,15.341,-10.791,NOT_INITIALIZED,2719,0,0
