frame_index,timestamp,tracking_state,n_keypoints,n_map_matches,is_keyframe,n_map_points_total
0,0.000000000,NOT_INITIALIZED,3944,0,0,0
1,0.033228840,NOT_INITIALIZED,3931,0,0,0
2,0.066457680,NOT_INITIALIZED,3734,0,0,0
3,0.099686520,NOT_INITIALIZED,3786,0,0,0
4,0.132915361,NOT_INITIALIZED,3766,0,0,0
5,0.166144201,NOT_INITIALIZED,3662,0,0,0
6,0.199373041,NOT_INITIALIZED,3683,0,0,0
7,0.232601881,NOT_INITIALIZED,3725,0,0,0
8,0.265830721,NOT_INITIALIZED,3560,0,0,0
9,0.299059561,NOT_INITIALIZED,3131,0,0,0
10,0.332288401,NOT_INITIALIZED,2920,0,0,0
11,0.365517241,NOT_INITIALIZED,2910,0,0,0
12,0.398746082,NOT_INITIALIZED,2916,0,0,0
13,0.431974922,NOT_INITIALIZED,3063,0,0,0
14,0.465203762,NOT_INITIALIZED,2854,0,0,0
15,0.498432602,NOT_INITIALIZED,2748,0,0,0
16,0.531661442,NOT_INITIALIZED,2887,0,0,0
17,0.564890282,NOT_INITIALIZED,2931,0,0,0
18,0.598119122,NOT_INITIALIZED,2763,0,0,0
19,0.631347962,NOT_INITIALIZED,2790,0,0,0
20,0.664576803,NOT_INITIALIZED,2719,0,0,0
21,0.697805643,NOT_INITIALIZED,2879,0,0,0
22,0.731034483,NOT_INITIALIZED,2639,0,0,0
23,0.764263323,NOT_INITIALIZED,2801,0,0,0
24,0.797492163,NOT_INITIALIZED,2789,0,0,0
25,0.830721003,NOT_INITIALIZED,3025,0,0,0
26,0.863949843,NOT_INITIALIZED,2708,0,0,0
27,0.897178683,NOT_INITIALIZED,2654,0,0,0
28,0.930407524,NOT_INITIALIZED,2536,0,0,0
29,0.963636364,NOT_INITIALIZED,2627,0,0,0
30,0.996865204,NOT_INITIALIZED,2540,0,0,0
31,1.030094044,NOT_INITIALIZED,2459,0,0,0
32,1.063322884,NOT_INITIALIZED,2257,0,0,0
33,1.096551724,NOT_INITIALIZED,2264,0,0,0
34,1.129780564,NOT_INITIALIZED,2216,0,0,0
35,1.163009404,NOT_INITIALIZED,1981,0,0,0
36,1.196238245,NOT_INITIALIZED,2185,0,0,0
37,1.229467085,NOT_INITIALIZED,1981,0,0,0
38,1.262695925,NOT_INITIALIZED,2011,0,0,0
39,1.295924765,NOT_INITIALIZED,1823,0,0,0
40,1.329153605,NOT_INITIALIZED,2047,0,0,0
41,1.362382445,NOT_INITIALIZED,2130,0,0,0
42,1.395611285,NOT_INITIALIZED,2203,0,0,0
43,1.428840125,NOT_INITIALIZED,2421,0,0,0
44,1.462068966,NOT_INITIALIZED,2280,0,0,0
45,1.495297806,NOT_INITIALIZED,2411,0,0,0
46,1.528526646,NOT_INITIALIZED,2052,0,0,0
47,1.561755486,NOT_INITIALIZED,2004,0,0,0
48,1.594984326,NOT_INITIALIZED,2050,0,0,0
49,1.628213166,NOT_INITIALIZED,2212,0,0,0
50,1.661442006,NOT_INITIALIZED,2202,0,0,0
51,1.694670846,NOT_INITIALIZED,2199,0,0,0
52,1.727899687,NOT_INITIALIZED,2150,0,0,0
53,1.761128527,NOT_INITIALIZED,2170,0,0,0
54,1.794357367,NOT_INITIALIZED,2363,0,0,0
55,1.827586207,NOT_INITIALIZED,2302,0,0,0
56,1.860815047,NOT_INITIALIZED,2145,0,0,0
57,1.894043887,NOT_INITIALIZED,2350,0,0,0
58,1.927272727,NOT_INITIALIZED,2385,0,0,0
59,1.960501567,NOT_INITIALIZED,2412,0,0,0
60,1.993730408,NOT_INITIALIZED,2429,0,0,0
61,2.026959248,NOT_INITIALIZED,2590,0,0,0
62,2.060188088,NOT_INITIALIZED,2654,0,0,0
63,2.093416928,NOT_INITIALIZED,2657,0,0,0
64,2.126645768,NOT_INITIALIZED,2598,0,0,0
65,2.159874608,NOT_INITIALIZED,2679,0,0,0
66,2.193103448,NOT_INITIALIZED,2835,0,0,0
67,2.226332288,NOT_INITIALIZED,2943,0,0,0
68,2.259561129,NOT_INITIALIZED,3016,0,0,0
69,2.292789969,NOT_INITIALIZED,3077,0,0,0
70,2.326018809,NOT_INITIALIZED,3102,0,0,0
71,2.359247649,NOT_INITIALIZED,3328,0,0,0
72,2.392476489,NOT_INITIALIZED,3449,0,0,0
73,2.425705329,NOT_INITIALIZED,3461,0,0,0
74,2.458934169,NOT_INITIALIZED,3479,0,0,0
75,2.492163009,NOT_INITIALIZED,3612,0,0,0
76,2.525391850,NOT_INITIALIZED,3668,0,0,0
77,2.558620690,NOT_INITIALIZED,3858,0,0,0
78,2.591849530,NOT_INITIALIZED,4023,0,0,0
79,2.625078370,NOT_INITIALIZED,4159,0,0,0
80,2.658307210,NOT_INITIALIZED,4456,0,0,0
81,2.691536050,NOT_INITIALIZED,4560,0,0,0
82,2.724764890,NOT_INITIALIZED,4416,0,0,0
83,2.757993730,NOT_INITIALIZED,4518,0,0,0
84,2.791222571,NOT_INITIALIZED,4450,0,0,0
85,2.824451411,NOT_INITIALIZED,4437,0,0,0
86,2.857680251,NOT_INITIALIZED,4107,0,0,0
87,2.890909091,NOT_INITIALIZED,4007,0,0,0
88,2.924137931,NOT_INITIALIZED,3927,0,0,0
89,2.957366771,NOT_INITIALIZED,3757,0,0,0
90,2.990595611,NOT_INITIALIZED,3665,0,0,0
91,3.023824451,NOT_INITIALIZED,3773,0,0,0
92,3.057053292,NOT_INITIALIZED,3677,0,0,0
93,3.090282132,NOT_INITIALIZED,3959,0,0,0
94,3.123510972,NOT_INITIALIZED,4195,0,0,0
95,3.156739812,NOT_INITIALIZED,4431,0,0,0
96,3.189968652,NOT_INITIALIZED,4344,0,0,0
97,3.223197492,NOT_INITIALIZED,4331,0,0,0
98,3.256426332,NOT_INITIALIZED,4247,0,0,0
99,3.289655172,NOT_INITIALIZED,4155,0,0,0
100,3.322884013,NOT_INITIALIZED,3981,0,0,0
101,3.356112853,NOT_INITIALIZED,3959,0,0,0
102,3.389341693,NOT_INITIALIZED,3924,0,0,0
103,3.422570533,NOT_INITIALIZED,3763,0,0,0
104,3.455799373,NOT_INITIALIZED,3627,0,0,0
105,3.489028213,NOT_INITIALIZED,3600,0,0,0
106,3.522257053,NOT_INITIALIZED,3538,0,0,0
107,3.555485893,NOT_INITIALIZED,3786,0,0,0
108,3.588714734,NOT_INITIALIZED,3774,0,0,0
109,3.621943574,NOT_INITIALIZED,3801,0,0,0
110,3.655172414,NOT_INITIALIZED,4081,0,0,0
111,3.688401254,NOT_INITIALIZED,4081,0,0,0
112,3.721630094,NOT_INITIALIZED,4229,0,0,0
113,3.754858934,NOT_INITIALIZED,4097,0,0,0
114,3.788087774,NOT_INITIALIZED,4276,0,0,0
115,3.821316614,NOT_INITIALIZED,4296,0,0,0
116,3.854545455,NOT_INITIALIZED,4378,0,0,0
117,3.887774295,NOT_INITIALIZED,4495,0,0,0
118,3.921003135,NOT_INITIALIZED,4594,0,0,0
119,3.954231975,NOT_INITIALIZED,4485,0,0,0
120,3.987460815,NOT_INITIALIZED,4498,0,0,0
121,4.020689655,NOT_INITIALIZED,4517,0,0,0
122,4.053918495,NOT_INITIALIZED,4499,0,0,0
123,4.087147335,NOT_INITIALIZED,4584,0,0,0
124,4.120376176,NOT_INITIALIZED,4504,0,0,0
125,4.153605016,NOT_INITIALIZED,4538,0,0,0
126,4.186833856,NOT_INITIALIZED,4537,0,0,0
127,4.220062696,NOT_INITIALIZED,4659,0,0,0
128,4.253291536,NOT_INITIALIZED,4646,0,0,0
129,4.286520376,NOT_INITIALIZED,4581,0,0,0
130,4.319749216,NOT_INITIALIZED,4509,0,0,0
131,4.352978056,NOT_INITIALIZED,4505,0,0,0
132,4.386206897,NOT_INITIALIZED,4415,0,0,0
133,4.419435737,NOT_INITIALIZED,4458,0,0,0
134,4.452664577,NOT_INITIALIZED,4388,0,0,0
135,4.485893417,NOT_INITIALIZED,4347,0,0,0
136,4.519122257,NOT_INITIALIZED,4398,0,0,0
137,4.552351097,NOT_INITIALIZED,4531,0,0,0
138,4.585579937,NOT_INITIALIZED,4570,0,0,0
139,4.618808777,NOT_INITIALIZED,4751,0,0,0
140,4.652037618,NOT_INITIALIZED,4767,0,0,0
141,4.685266458,NOT_INITIALIZED,4740,0,0,0
142,4.718495298,NOT_INITIALIZED,4385,0,0,0
143,4.751724138,NOT_INITIALIZED,3856,0,0,0
144,4.784952978,NOT_INITIALIZED,4130,0,0,0
145,4.818181818,NOT_INITIALIZED,4559,0,0,0
146,4.851410658,NOT_INITIALIZED,4410,0,0,0
147,4.884639498,NOT_INITIALIZED,4361,0,0,0
148,4.917868339,NOT_INITIALIZED,4259,0,0,0
149,4.951097179,NOT_INITIALIZED,4607,0,0,0
150,4.984326019,NOT_INITIALIZED,4757,0,0,0
151,5.017554859,NOT_INITIALIZED,4845,0,0,0
152,5.050783699,NOT_INITIALIZED,4792,0,0,0
153,5.084012539,NOT_INITIALIZED,4838,0,0,0
154,5.117241379,NOT_INITIALIZED,4823,0,0,0
155,5.150470219,NOT_INITIALIZED,4963,0,0,0
156,5.183699060,NOT_INITIALIZED,4926,0,0,0
157,5.216927900,NOT_INITIALIZED,5024,0,0,0
158,5.250156740,NOT_INITIALIZED,5018,0,0,0
159,5.283385580,NOT_INITIALIZED,5007,0,0,0
160,5.316614420,NOT_INITIALIZED,5073,0,0,0
161,5.349843260,NOT_INITIALIZED,5083,0,0,0
162,5.383072100,NOT_INITIALIZED,5150,0,0,0
163,5.416300940,NOT_INITIALIZED,5287,0,0,0
164,5.449529781,NOT_INITIALIZED,5315,0,0,0
165,5.482758621,NOT_INITIALIZED,5254,0,0,0
166,5.515987461,NOT_INITIALIZED,5261,0,0,0
167,5.549216301,NOT_INITIALIZED,5264,0,0,0
