frame_index,timestamp,tracking_state,n_keypoints,n_map_matches,is_keyframe,n_map_points_total
0,0.000000000,NOT_INITIALIZED,5765,0,1,0
1,0.033333333,NOT_INITIALIZED,5759,0,0,0
2,0.066666667,NOT_INITIALIZED,5781,0,0,0
3,0.100000000,NOT_INITIALIZED,5756,0,0,0
4,0.133333333,NOT_INITIALIZED,5789,0,0,0
5,0.166666667,NOT_INITIALIZED,5789,0,0,0
6,0.200000000,NOT_INITIALIZED,5776,0,0,0
7,0.233333333,NOT_INITIALIZED,5773,0,0,0
8,0.266666667,NOT_INITIALIZED,5782,0,0,0
9,0.300000000,NOT_INITIALIZED,5762,0,0,0
10,0.333333333,NOT_INITIALIZED,5755,0,0,0
11,0.366666667,NOT_INITIALIZED,5780,0,0,0
12,0.400000000,NOT_INITIALIZED,5775,0,0,0
13,0.433333333,NOT_INITIALIZED,5777,0,0,0
14,0.466666667,NOT_INITIALIZED,5751,0,0,0
15,0.500000000,NOT_INITIALIZED,5765,0,0,0
16,0.533333333,NOT_INITIALIZED,5767,0,0,0
17,0.566666667,NOT_INITIALIZED,5771,0,0,0
18,0.600000000,NOT_INITIALIZED,5761,0,0,0
19,0.633333333,NOT_INITIALIZED,5765,0,0,0
20,0.666666667,NOT_INITIALIZED,5779,0,0,0
21,0.700000000,NOT_INITIALIZED,5794,0,0,0
22,0.733333333,NOT_INITIALIZED,5783,0,0,0
23,0.766666667,NOT_INITIALIZED,5796,0,0,0
24,0.800000000,NOT_INITIALIZED,5792,0,0,0
25,0.833333333,NOT_INITIALIZED,5789,0,0,0
26,0.866666667,NOT_INITIALIZED,5777,0,0,0
27,0.900000000,NOT_INITIALIZED,5780,0,0,0
28,0.933333333,NOT_INITIALIZED,5786,0,0,0
29,0.966666667,NOT_INITIALIZED,5773,0,0,0
30,1.000000000,NOT_INITIALIZED,5776,0,0,0
31,1.033333333,NOT_INITIALIZED,5802,0,0,0
32,1.066666667,NOT_INITIALIZED,5786,0,0,0
33,1.100000000,NOT_INITIALIZED,5792,0,0,0
34,1.133333333,NOT_INITIALIZED,5779,0,0,0
35,1.166666667,NOT_INITIALIZED,5795,0,0,0
36,1.200000000,NOT_INITIALIZED,5785,0,0,0
37,1.233333333,NOT_INITIALIZED,5761,0,0,0
38,1.266666667,NOT_INITIALIZED,5746,0,0,0
39,1.300000000,NOT_INITIALIZED,5751,0,0,0
40,1.333333333,NOT_INITIALIZED,5761,0,0,0
41,1.366666667,NOT_INITIALIZED,5721,0,0,0
42,1.400000000,NOT_INITIALIZED,5750,0,0,0
43,1.433333333,NOT_INITIALIZED,5735,0,0,0
44,1.466666667,NOT_INITIALIZED,5727,0,0,0
45,1.500000000,NOT_INITIALIZED,5724,0,0,0
