frame,x,y,z,roll,pitch,yaw,tracking_state,n_keypoints,n_map_matches,is_keyframe
0,-0.018352,-0.000458,0.063482,1.661,-15.053,-0.197,NOT_INITIALIZED,6006,0,0
1,-0.020413,0.000043,0.069427,1.658,-15.027,-0.180,NOT_INITIALIZED,6008,0,0
2,-0.021535,-0.000372,0.074377,1.658,-15.039,-0.186,NOT_INITIALIZED,6008,0,0
3,-0.023125,-0.000304,0.080821,1.682,-15.051,-0.209,NOT_INITIALIZED,6006,0,0
4,-0.024811,-0.000454,0.087369,1.694,-15.066,-0.226,NOT_INITIALIZED,6007,0,0
5,-0.026767,-0.000173,0.093483,1.670,-15.043,-0.214,NOT_INITIALIZED,6007,0,0
6,-0.028569,-0.000182,0.099245,1.664,-15.044,-0.205,NOT_INITIALIZED,6003,0,0
7,-0.030285,0.000177,0.105940,1.683,-15.025,-0.224,NOT_INITIALIZED,6008,0,0
8,-0.032067,0.000261,0.111485,1.702,-15.034,-0.208,NOT_INITIALIZED,6005,0,0
9,-0.033525,0.000276,0.116898,1.678,-15.026,-0.203,NOT_INITIALIZED,6003,0,0
10,-0.034798,-0.000118,0.123189,1.678,-15.058,-0.229,NOT_INITIALIZED,6008,0,0
11,-0.036528,-0.000023,0.128492,1.676,-15.051,-0.205,NOT_INITIALIZED,6007,0,0
12,-0.038054,-0.000065,0.134899,1.693,-15.062,-0.216,NOT_INITIALIZED,6002,0,0
13,-0.039471,-0.000014,0.140852,1.674,-15.055,-0.222,NOT_INITIALIZED,6005,0,0
14,-0.041387,0.000134,0.146761,1.669,-15.045,-0.212,NOT_INITIALIZED,6009,0,0
15,-0.042690,0.000186,0.152563,1.675,-15.046,-0.234,NOT_INITIALIZED,6006,0,0
16,-0.044102,-0.000101,0.158876,1.669,-15.058,-0.254,NOT_INITIALIZED,6005,0,0
17,-0.046051,0.000240,0.165014,1.666,-15.033,-0.238,NOT_INITIALIZED,6001,0,0
18,-0.047729,0.000204,0.171102,1.693,-15.054,-0.244,NOT_INITIALIZED,6004,0,0
19,-0.049582,0.000283,0.176924,1.685,-15.038,-0.235,NOT_INITIALIZED,6005,0,0
20,-0.051150,0.000239,0.183323,1.672,-15.037,-0.257,NOT_INITIALIZED,6007,0,0
21,-0.052667,0.000120,0.189322,1.677,-15.046,-0.270,NOT_INITIALIZED,6006,0,0
22,-0.054488,0.000185,0.195614,1.663,-15.041,-0.270,NOT_INITIALIZED,6010,0,0
23,-0.056145,0.000326,0.201896,1.676,-15.039,-0.289,NOT_INITIALIZED,6005,0,0
24,-0.057765,0.000268,0.207436,1.683,-15.038,-0.294,NOT_INITIALIZED,6002,0,0
25,-0.059446,0.000406,0.213729,1.695,-15.036,-0.315,NOT_INITIALIZED,6006,0,0
26,-0.061062,0.000302,0.219442,1.696,-15.054,-0.329,NOT_INITIALIZED,6006,0,0
27,-0.062706,0.000223,0.224924,1.666,-15.043,-0.329,NOT_INITIALIZED,6005,0,0
28,-0.064052,0.000237,0.230782,1.638,-15.032,-0.358,NOT_INITIALIZED,6005,0,0
29,-0.065869,0.000433,0.236551,1.624,-15.010,-0.351,NOT_INITIALIZED,6004,0,0
30,-0.067500,0.000567,0.242145,1.631,-15.011,-0.361,NOT_INITIALIZED,6004,0,0
31,-0.069028,0.000584,0.247850,1.620,-15.008,-0.365,NOT_INITIALIZED,6006,0,0
32,-0.070336,0.000523,0.252914,1.652,-15.020,-0.377,NOT_INITIALIZED,6002,0,0
33,-0.071934,0.000470,0.258179,1.616,-15.016,-0.370,NOT_INITIALIZED,6006,0,0
34,-0.073598,0.000540,0.263808,1.613,-15.002,-0.369,NOT_INITIALIZED,6002,0,0
35,-0.074813,0.000429,0.269121,1.611,-15.012,-0.384,NOT_INITIALIZED,6002,0,0
36,-0.076472,0.000516,0.274538,1.622,-15.019,-0.386,NOT_INITIALIZED,6005,0,0
37,-0.077988,0.000710,0.280774,1.592,-15.001,-0.402,NOT_INITIALIZED,6008,0,0
38,-0.079260,0.000278,0.285208,1.574,-15.011,-0.395,NOT_INITIALIZED,6007,0,0
39,-0.080838,0.000662,0.291336,1.589,-14.997,-0.410,NOT_INITIALIZED,6005,0,0
40,-0.081861,0.000250,0.296317,1.592,-15.026,-0.427,NOT_INITIALIZED,6005,0,0
41,-0.083390,0.000225,0.301305,1.597,-15.030,-0.422,NOT_INITIALIZED,6002,0,0
42,-0.084925,0.000347,0.306284,1.587,-15.022,-0.413,NOT_INITIALIZED,6005,0,0
43,-0.086203,0.000268,0.311449,1.607,-15.037,-0.431,NOT_INITIALIZED,6001,0,0
44,-0.087495,0.000243,0.315838,1.556,-15.025,-0.411,NOT_INITIALIZED,6004,0,0
45,-0.089330,0.000437,0.321582,1.574,-15.020,-0.403,NOT_INITIALIZED,6005,0,0
46,-0.090509,0.000168,0.326680,1.574,-15.035,-0.407,NOT_INITIALIZED,6003,0,0
47,-0.091885,0.000264,0.331547,1.570,-15.037,-0.389,NOT_INITIALIZED,6003,0,0
48,-0.093296,0.000235,0.336643,1.562,-15.033,-0.378,NOT_INITIALIZED,6003,0,0
49,-0.094590,0.000072,0.341364,1.576,-15.044,-0.368,NOT_INITIALIZED,6004,0,0
50,-0.095946,0.000218,0.347084,1.553,-15.031,-0.358,NOT_INITIALIZED,6006,0,0
51,-0.097165,0.000112,0.352024,1.531,-15.026,-0.364,NOT_INITIALIZED,6004,0,0
52,-0.098787,0.000172,0.357195,1.523,-15.024,-0.343,NOT_INITIALIZED,6004,0,0
53,-0.100022,-0.000124,0.362986,1.531,-15.037,-0.364,NOT_INITIALIZED,6005,0,0
54,-0.101884,-0.000390,0.367504,1.506,-15.038,-0.320,NOT_INITIALIZED,6005,0,0
55,-0.102796,-0.000451,0.373520,1.538,-15.070,-0.353,NOT_INITIALIZED,6006,0,0
56,-0.104316,-0.000133,0.379847,1.508,-15.041,-0.360,NOT_INITIALIZED,6003,0,0
57,-0.105729,-0.000310,0.384611,1.498,-15.050,-0.348,NOT_INITIALIZED,6004,0,0
58,-0.107120,-0.000212,0.390105,1.502,-15.050,-0.356,NOT_INITIALIZED,6008,0,0
59,-0.108955,-0.000065,0.395548,1.474,-15.042,-0.334,NOT_INITIALIZED,6007,0,1
60,-0.110004,-0.000220,0.401427,1.500,-15.065,-0.373,NOT_INITIALIZED,6005,0,0
61,-0.111707,-0.000289,0.406898,1.479,-15.058,-0.364,NOT_INITIALIZED,6010,0,0
62,-0.113098,-0.000168,0.411406,1.462,-15.050,-0.345,NOT_INITIALIZED,6004,0,0
63,-0.114554,-0.000008,0.416725,1.457,-15.053,-0.344,NOT_INITIALIZED,6006,0,0
64,-0.115918,-0.000225,0.422375,1.414,-15.045,-0.342,NOT_INITIALIZED,6008,0,0
65,-0.116990,-0.000121,0.427838,1.445,-15.069,-0.373,NOT_INITIALIZED,6006,0,0
66,-0.118525,0.000159,0.433477,1.440,-15.070,-0.379,NOT_INITIALIZED,6003,0,0
67,-0.120291,0.000172,0.438277,1.394,-15.054,-0.340,NOT_INITIALIZED,6005,0,0
68,-0.121539,0.000138,0.443357,1.393,-15.067,-0.345,NOT_INITIALIZED,6004,0,0
69,-0.122957,0.000088,0.449520,1.397,-15.082,-0.361,NOT_INITIALIZED,6002,0,0
70,-0.124419,0.000248,0.455039,1.430,-15.097,-0.371,OK,6003,193,1
71,-0.126195,0.000446,0.460438,1.377,-15.081,-0.355,OK,1208,73,0
72,-0.127591,0.000479,0.466390,1.384,-15.091,-0.365,OK,1204,71,1
