frame,x,y,z,roll,pitch,yaw,tracking_state,n_keypoints,n_map_matches,is_keyframe
0,-0.023364,-0.000365,0.059283,-4.269,-14.266,0.385,NOT_INITIALIZED,5192,0,0
1,-0.024412,-0.000461,0.062335,-4.269,-14.271,0.386,NOT_INITIALIZED,5242,0,0
2,-0.026092,-0.000327,0.066723,-4.256,-14.265,0.393,NOT_INITIALIZED,5204,0,0
3,-0.027620,-0.000630,0.070530,-4.277,-14.272,0.413,NOT_INITIALIZED,5169,0,0
4,-0.028670,-0.000603,0.073936,-4.240,-14.289,0.404,NOT_INITIALIZED,5146,0,0
5,-0.030797,-0.000426,0.078281,-4.277,-14.265,0.442,NOT_INITIALIZED,5120,0,0
6,-0.031461,-0.000477,0.081493,-4.241,-14.271,0.419,NOT_INITIALIZED,5127,0,0
7,-0.032915,-0.000484,0.085478,-4.235,-14.274,0.425,NOT_INITIALIZED,5115,0,0
8,-0.034340,-0.000525,0.089607,-4.241,-14.271,0.430,NOT_INITIALIZED,5094,0,0
9,-0.035159,-0.000588,0.092450,-4.232,-14.275,0.419,NOT_INITIALIZED,5053,0,0
10,-0.035870,-0.000805,0.095898,-4.215,-14.288,0.401,NOT_INITIALIZED,5089,0,0
11,-0.037752,-0.000510,0.100293,-4.223,-14.276,0.417,NOT_INITIALIZED,5095,0,0
12,-0.038362,-0.000463,0.103491,-4.206,-14.268,0.399,NOT_INITIALIZED,5094,0,0
13,-0.039932,-0.000507,0.107184,-4.184,-14.281,0.414,NOT_INITIALIZED,5099,0,0
14,-0.041248,-0.000037,0.111241,-4.138,-14.278,0.413,NOT_INITIALIZED,5081,0,0
15,-0.042401,-0.000535,0.114343,-4.243,-14.288,0.435,NOT_INITIALIZED,5057,0,0
16,-0.043661,-0.000424,0.118526,-4.202,-14.294,0.435,NOT_INITIALIZED,5079,0,0
17,-0.044982,-0.000633,0.122312,-4.212,-14.298,0.441,NOT_INITIALIZED,5073,0,0
18,-0.046290,-0.000734,0.126294,-4.218,-14.313,0.442,NOT_INITIALIZED,5045,0,0
19,-0.047563,-0.000628,0.130073,-4.214,-14.296,0.444,NOT_INITIALIZED,5035,0,0
20,-0.048735,-0.000674,0.133907,-4.192,-14.312,0.438,NOT_INITIALIZED,5086,0,0
21,-0.050137,-0.000476,0.137691,-4.226,-14.283,0.443,NOT_INITIALIZED,5049,0,0
22,-0.050474,-0.000313,0.140869,-4.155,-14.293,0.394,NOT_INITIALIZED,5036,0,0
23,-0.050607,-0.000323,0.143715,-4.098,-14.290,0.334,NOT_INITIALIZED,5034,0,0
24,-0.053704,-0.000571,0.149282,-4.181,-14.307,0.419,OK,5016,210,0
25,-0.055251,-0.000814,0.153534,-4.273,-14.295,0.434,OK,4996,231,0
26,-0.055922,-0.000495,0.157067,-4.170,-14.295,0.398,OK,5028,266,0
27,-0.058142,-0.000373,0.162076,-4.210,-14.280,0.441,OK,4964,264,0
28,-0.059288,-0.000398,0.166140,-4.198,-14.279,0.426,OK,4971,249,0
29,-0.061278,-0.000799,0.170780,-4.229,-14.299,0.456,OK,5017,253,0
30,-0.062818,-0.000391,0.175662,-4.166,-14.304,0.435,OK,4900,237,0
31,-0.064343,-0.001060,0.180293,-4.263,-14.311,0.473,OK,4916,216,0
32,-0.065253,-0.000953,0.183588,-4.276,-14.295,0.438,OK,1204,142,0
33,-0.067180,-0.001231,0.188663,-4.296,-14.332,0.483,OK,1202,120,0
34,-0.068449,-0.000986,0.192911,-4.284,-14.300,0.475,OK,1203,132,0
35,-0.070310,-0.001203,0.197794,-4.309,-14.312,0.496,OK,1204,137,0
36,-0.071098,-0.001195,0.201253,-4.326,-14.300,0.474,OK,1201,136,0
37,-0.072796,-0.001156,0.206182,-4.316,-14.298,0.469,OK,1206,120,0
38,-0.074625,-0.001408,0.210729,-4.377,-14.295,0.486,OK,1200,139,0
39,-0.076058,-0.001358,0.215697,-4.373,-14.292,0.465,OK,1206,118,0
40,-0.077270,-0.001447,0.220150,-4.337,-14.300,0.453,OK,1203,147,0
41,-0.078963,-0.001572,0.224907,-4.352,-14.296,0.448,OK,1207,126,0
42,-0.081083,-0.001670,0.230469,-4.362,-14.301,0.459,OK,1205,136,0
43,-0.082319,-0.001645,0.234717,-4.370,-14.284,0.445,OK,1208,138,0
44,-0.083934,-0.001772,0.239381,-4.359,-14.300,0.442,OK,1204,158,0
45,-0.086121,-0.001834,0.245298,-4.358,-14.306,0.441,OK,1202,146,0
46,-0.087820,-0.001817,0.250154,-4.370,-14.295,0.433,OK,1204,175,0
47,-0.089125,-0.001947,0.254575,-4.341,-14.316,0.413,OK,1207,159,0
48,-0.090766,-0.001990,0.259245,-4.357,-14.301,0.414,OK,1202,168,0
49,-0.092283,-0.001920,0.263693,-4.325,-14.296,0.402,OK,1202,154,0
50,-0.094188,-0.002104,0.268973,-4.380,-14.297,0.410,OK,1202,170,0
